# Constructed from biom file
#OTU ID	BillFood4	BillFood5	CarolineMouseFecesD1	CarolineSoilRiverside	DhakeniaMFood2	DhakeniaMSoilCentralPark	JayHumanSkinE2	JaySoilLabSt	KeithMouseFecesE1	KeithSoilRiverside	MattMouseFeces	MattSoilRiverside	OmControl	OmFood1	OmMouseFecesC2	RuichaoFood3	RuichaoHumanSkinD1	VeshHumanSkin	VeshSoilRiverside
k__Bacillati;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Gelria	0.0	0.0	0.0	0.0	0.0	713.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfotomaculaceae;g__Cryptanaerobacter	0.0	0.0	0.0	0.0	0.0	198.0	0.0	488.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.0	0.0	0.0	328.0	7.0	8.0	0.0	46.0	0.0	39.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0
k__Thermoproteati;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	0.0	57.0	0.0	8.0	0.0	1281.0	0.0	341.0	0.0	762.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	844.0
k__Bacillati;p__Bacillota;c__Clostridia;__;__;__	0.0	9.0	0.0	354.0	0.0	2931.0	0.0	665.0	0.0	8.0	0.0	545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;__	0.0	44.0	0.0	16.0	0.0	1710.0	0.0	903.0	0.0	73.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;__;__	0.0	0.0	0.0	0.0	0.0	1290.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;__	0.0	0.0	0.0	0.0	0.0	972.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Aristaeellaceae;g__Aristaeella	0.0	0.0	0.0	0.0	0.0	988.0	0.0	406.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Indioceanicola	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio	0.0	0.0	0.0	60.0	0.0	647.0	0.0	256.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;__	0.0	0.0	0.0	256.0	0.0	0.0	0.0	57.0	0.0	37.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0
